tcpi_state,tcpi_ca_state,tcpi_retransmits,tcpi_probes,tcpi_backoff,tcpi_options,tcpi_snd_wscale,tcpi_rcv_wscale,tcpi_rto,tcpi_ato,tcpi_snd_mss,tcpi_rcv_mss,tcpi_unacked,tcpi_sacked,tcpi_lost,tcpi_retrans,tcpi_fackets,tcpi_last_data_sent,tcpi_last_ack_sent,tcpi_last_data_recv,tcpi_last_ack_recv,tcpi_pmtu,tcpi_rcv_ssthresh,tcpi_rtt,tcpi_rttvar,tcpi_snd_ssthresh,tcpi_snd_cwnd,tcpi_advmss,tcpi_reordering,tcpi_rcv_rtt,tcpi_rcv_space,tcpi_total_retrans
1,0,0,0,0,7,4,4,376000,0,16384,536,21,0,0,0,0,32,0,24159148,32,16436,32792,164000,3000,26,28,16384,3,0,32792,0
1,0,0,0,0,7,4,4,376000,0,16384,536,21,0,0,0,0,80,0,24159196,80,16436,32792,164000,3000,26,28,16384,3,0,32792,0
1,0,0,0,0,7,4,4,376000,0,16384,536,21,0,0,0,0,132,0,24159248,132,16436,32792,164000,3000,26,28,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,24,0,0,0,0,20,0,24159296,20,16436,32792,163500,3000,26,28,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,24,0,0,0,0,72,0,24159348,72,16436,32792,163500,3000,26,28,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,24,0,0,0,0,120,0,24159396,120,16436,32792,163500,3000,26,28,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,21,0,0,0,0,12,0,24159448,12,16436,32792,163500,3000,26,28,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,21,0,0,0,0,64,0,24159500,64,16436,32792,163500,3000,26,28,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,21,0,0,0,0,112,0,24159548,112,16436,32792,163500,3000,26,28,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,24,0,0,0,0,4,0,24159600,4,16436,32792,163500,3000,26,28,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,24,0,0,0,0,52,0,24159648,52,16436,32792,163500,3000,26,28,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,24,0,0,0,0,104,0,24159700,104,16436,32792,163500,3000,26,28,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,24,0,0,0,0,156,0,24159752,156,16436,32792,163500,3000,26,28,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,21,0,0,0,0,44,0,24159800,44,16436,32792,163500,3000,26,28,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,21,0,0,0,0,96,0,24159852,96,16436,32792,163500,3000,26,28,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,21,0,0,0,0,148,0,24159904,148,16436,32792,163500,3000,26,28,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,24,0,0,0,0,40,0,24159956,40,16436,32792,163500,3000,26,28,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,24,0,0,0,0,88,0,24160004,88,16436,32792,163500,3000,26,28,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,24,0,0,0,0,140,0,24160056,140,16436,32792,163500,3000,26,28,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,21,0,0,0,0,28,0,24160104,28,16436,32792,163500,3000,26,28,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,21,0,0,0,0,80,0,24160156,80,16436,32792,163500,3000,26,28,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,21,0,0,0,0,132,0,24160208,132,16436,32792,163500,3000,26,28,16384,3,0,32792,0
1,0,0,0,0,7,4,4,376000,0,16384,536,24,0,0,0,0,16,0,24160256,16,16436,32792,164000,3000,26,28,16384,3,0,32792,0
1,0,0,0,0,7,4,4,376000,0,16384,536,24,0,0,0,0,68,0,24160308,68,16436,32792,164000,3000,26,28,16384,3,0,32792,0
1,0,0,0,0,7,4,4,376000,0,16384,536,24,0,0,0,0,116,0,24160356,116,16436,32792,164000,3000,26,28,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,21,0,0,0,0,8,0,24160408,8,16436,32792,163500,3000,26,28,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,21,0,0,0,0,60,0,24160460,60,16436,32792,163500,3000,26,28,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,21,0,0,0,0,108,0,24160508,108,16436,32792,163500,3000,26,28,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,21,0,0,0,0,160,0,24160560,160,16436,32792,163500,3000,26,28,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,24,0,0,0,0,48,0,24160608,48,16436,32792,163500,3000,26,28,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,24,0,0,0,0,100,0,24160660,100,16436,32792,163500,3000,26,28,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,24,0,0,0,0,148,0,24160708,148,16436,32792,163500,3000,26,28,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,21,0,0,0,0,40,0,24160760,40,16436,32792,163500,3000,26,28,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,21,0,0,0,0,92,0,24160812,92,16436,32792,163500,3000,26,28,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,21,0,0,0,0,140,0,24160860,140,16436,32792,163500,3000,26,28,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,24,0,0,0,0,32,0,24160912,32,16436,32792,163500,3000,26,28,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,24,0,0,0,0,80,0,24160960,80,16436,32792,163500,3000,26,28,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,24,0,0,0,0,132,0,24161012,132,16436,32792,163500,3000,26,28,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,21,0,0,0,0,20,0,24161060,20,16436,32792,163500,3000,26,28,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,21,0,0,0,0,72,0,24161112,72,16436,32792,163500,3000,26,28,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,21,0,0,0,0,124,0,24161164,124,16436,32792,163500,3000,26,28,16384,3,0,32792,0
1,0,0,0,0,7,4,4,376000,0,16384,536,24,0,0,0,0,8,0,24161212,8,16436,32792,164000,3000,26,28,16384,3,0,32792,0
1,0,0,0,0,7,4,4,376000,0,16384,536,24,0,0,0,0,60,0,24161264,60,16436,32792,164000,3000,26,28,16384,3,0,32792,0
1,0,0,0,0,7,4,4,376000,0,16384,536,24,0,0,0,0,108,0,24161312,108,16436,32792,164000,3000,26,28,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,21,0,0,0,0,0,0,24161364,0,16436,32792,163500,3000,26,28,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,21,0,0,0,0,48,0,24161412,48,16436,32792,163500,3000,26,28,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,21,0,0,0,0,100,0,24161464,100,16436,32792,163500,3000,26,28,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,21,0,0,0,0,148,0,24161512,148,16436,32792,163500,3000,26,28,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,24,0,0,0,0,40,0,24161564,40,16436,32792,163500,3000,26,28,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,24,0,0,0,0,92,0,24161616,92,16436,32792,163500,3000,26,28,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,24,0,0,0,0,140,0,24161664,140,16436,32792,163500,3000,26,28,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,21,0,0,0,0,32,0,24161716,32,16436,32792,163500,3000,26,28,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,21,0,0,0,0,80,0,24161764,80,16436,32792,163500,3000,26,28,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,21,0,0,0,0,132,0,24161816,132,16436,32792,163500,3000,26,28,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,24,0,0,0,0,20,0,24161864,20,16436,32792,163500,3000,26,28,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,24,0,0,0,0,72,0,24161916,72,16436,32792,163500,3000,26,28,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,24,0,0,0,0,124,0,24161968,124,16436,32792,163500,3000,26,28,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,21,0,0,0,0,12,0,24162016,12,16436,32792,163500,3000,26,28,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,21,0,0,0,0,64,0,24162068,64,16436,32792,163500,3000,26,28,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,21,0,0,0,0,112,0,24162116,112,16436,32792,163500,3000,26,28,16384,3,0,32792,0
1,0,0,0,0,7,4,4,376000,0,16384,536,24,0,0,0,0,0,0,24162168,0,16436,32792,164000,3000,26,28,16384,3,0,32792,0
1,0,0,0,0,7,4,4,376000,0,16384,536,24,0,0,0,0,48,0,24162216,48,16436,32792,164000,3000,26,28,16384,3,0,32792,0
1,0,0,0,0,7,4,4,376000,0,16384,536,24,0,0,0,0,100,0,24162268,100,16436,32792,164000,3000,26,28,16384,3,0,32792,0
1,0,0,0,0,7,4,4,376000,0,16384,536,24,0,0,0,0,148,0,24162316,148,16436,32792,164000,3000,26,28,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,21,0,0,0,0,40,0,24162368,40,16436,32792,163500,3000,26,28,16384,3,0,32792,0
1,0,0,0,0,7,4,4,372000,0,16384,536,21,0,0,0,0,92,0,24162420,92,16436,32792,163500,3000,26,28,16384,3,0,32792,0
